Date,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,inferred_regime,spy_equivalent_return,Mkt-RF,SMB,HML,RF,cpi_yoy,unemployment_delta,yield_spread_delta
2005-02-07,-0.170644152514033,0.0024134128073589,-0.7316839907376392,1,-0.0010889658294861,-0.0011,0.0013,-0.0007,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-08,-0.170644152514033,0.0024134128073589,-0.7316839907376392,0,0.000482706569868,0.0008,0.0025,-0.0012,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-09,-0.170644152514033,0.0024134128073589,-0.7316839907376392,1,-0.0085752791940739,-0.01,-0.012,0.0077,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-10,-0.170644152514033,0.0024134128073589,-0.7316839907376392,0,0.0042114611468029,0.0034999999999999,-0.0036,0.0009,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-11,-0.170644152514033,0.0024134128073589,-0.7316839907376392,1,0.006925622170965,0.0077,0.0042,-0.003,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-14,-0.170644152514033,0.0024134128073589,-0.7316839907376392,0,0.0006968935420927,0.0009,-0.0003,0.0014,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-15,-0.170644152514033,0.0024134128073589,-0.7316839907376392,1,0.0032997665448568,0.0028,-0.0036,0.0,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-16,-0.170644152514033,0.0024134128073589,-0.7316839907376392,0,0.0001817759428921,0.0007,0.0043,0.0034999999999999,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-17,-0.170644152514033,0.0024134128073589,-0.7316839907376392,1,-0.0079233654106537,-0.0079,-0.0031,0.0021,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-18,-0.170644152514033,0.0024134128073589,-0.7316839907376392,0,0.0006995343079845,0.0001,-0.0008,-0.0006,0.0001,0.0305302624531333,0.0,-0.1633333333333335
