date,equity_return,Mkt-RF,SMB,HML,RF,growth_yoy,cpi_yoy,unemployment_delta,yield_spread_delta,credit_spread_delta,growth_yoy_zscore,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,credit_spread_delta_zscore
2013-08-31,-0.031298019479343964,-0.0271,0.0032,-0.0273,0.0,0.022593571227008002,0.01538809488600279,-0.09999999999999994,0.2700000000000001,-0.040000000000000334,-0.043854013677285385,-0.7290865007056745,-0.40747231260157296,1.268768239547215,-0.3438740956616662
2013-09-30,0.029749523259195332,0.0377,0.028900000000000002,-0.0118,0.0,0.02854766330187619,0.010947341081747997,-0.09999999999999994,0.18000000000000002,-0.07666666666666695,0.07108846790012734,-0.8893700347347315,-0.40747231260157296,0.8470552882674323,-0.6541891582774404
2013-10-31,0.04459575276194472,0.0417,-0.015600000000000001,0.012199999999999999,0.0,0.024178437626957816,0.00876799143491147,-0.033333333333333215,0.010000000000000083,-0.016666666666666902,-0.013258504792259502,-0.9680309735476983,-0.13221768519012342,0.05048638029451,-0.14640087399708157
2013-11-30,0.028049471367328715,0.0311,0.0131,0.0019,0.0,0.02281966236973343,0.012328701961954458,-0.09999999999999994,-0.016666666666666607,-0.006666666666666672,-0.03948937223728736,-0.8395115166973562,-0.40747231260157296,-0.07446560526987014,-0.06176949328368655
2013-12-31,0.023562791975445974,0.0281,-0.0044,0.0,0.0,0.02245344069429267,0.015128383667573297,-0.16666666666666666,0.013333333333333345,-0.05999999999999991,-0.04655920381753388,-0.7384604569644041,-0.6827269400130225,0.06610537849005715,-0.5131368570884488
2014-01-31,-0.035582905955811595,-0.0332,0.009300000000000001,-0.0199,0.0,0.01856627704298197,0.01557758795574915,-0.20000000000000018,0.08333333333333319,-0.11999999999999966,-0.12160007163768084,-0.7222469819591363,-0.8203542537187478,0.39410434059655397,-1.020925141368805
2014-02-28,0.0431170301781616,0.0466,0.0036,-0.0034999999999999996,0.0,0.02148610089064018,0.011204746347724948,-0.06666666666666672,0.0033333333333332624,-0.09000000000000001,-0.06523349305631522,-0.8800793089870116,-0.2698449988958488,0.019248383903414268,-0.7670309992286288
2014-03-31,0.006932165418227054,0.0043,-0.018600000000000002,0.049,0.0,0.02724108069090181,0.016126949139408042,0.0,-0.05333333333333323,-0.046666666666666856,0.04586516839402833,-0.7024184672842478,0.005409628515600735,-0.24627458542089245,-0.4002950161372604
2014-04-30,0.006200789153414155,-0.0018,-0.0418,0.012199999999999999,0.0,0.029123215934373725,0.02015125303606169,-0.13333333333333316,-0.04666666666666656,-0.04666666666666671,0.08219938909950159,-0.5571661792730248,-0.5450996263072971,-0.21503658902979741,-0.40029501613725915
2014-05-31,0.02103028007328045,0.020499999999999997,-0.018500000000000003,-0.001,0.0,0.03226027611336124,0.02166947687079812,-0.13333333333333344,-0.0433333333333333,-0.06333333333333331,0.14275966886952682,-0.5023677616157463,-0.5450996263072982,-0.19941759083425026,-0.541347317326247
